Modelo,Horizonte,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,Tempo (s)
Random Forest,1,0.5500576698526419,0.0,44.188567567538605,0.0,61.60540394052927,0.0,17.453629732131958
Random Forest,2,0.4021013321708452,0.0,50.93220333243445,0.0,71.00075312382944,0.0,16.97064185142517
Random Forest,3,0.3384049844846201,0.0,54.006523740457595,0.0,74.68544651631528,0.0,17.45020604133606
Random Forest,4,0.3372979641091338,0.0,55.28717506843967,0.0,74.75687869894406,0.0,17.067410230636597
Random Forest,5,0.3303510012954418,0.0,56.69689535944052,0.0,75.1476873134212,0.0,17.550307035446167
Random Forest,6,0.2506161333703061,0.0,60.094018409429026,0.0,79.50534520365127,0.0,17.35903573036194
Gradient Boosting,1,0.5718190979196831,0.0,42.88583174768354,0.0,60.09717110809466,0.0,4.163660049438477
Gradient Boosting,2,0.43727059158585235,0.0,49.457731583448414,0.0,68.88092467894349,0.0,4.257117748260498
Gradient Boosting,3,0.37402055514654364,0.0,52.25222288264923,0.0,72.64737156860296,0.0,4.222707986831665
Gradient Boosting,4,0.35411995315310973,0.0,54.348545463947694,0.0,73.80196781682301,0.0,4.139296770095825
Gradient Boosting,5,0.3425575824005097,0.0,56.234071281611556,0.0,74.45962903591537,0.0,4.144729137420654
Gradient Boosting,6,0.27457090298047326,0.0,59.3217068580773,0.0,78.22429246634614,0.0,4.1447837352752686
XGBoost,1,0.527810072089987,0.0,44.89420010621142,0.0,63.1100817202613,0.0,0.136397123336792
XGBoost,2,0.3555995678321584,0.0,52.241616079097305,0.0,73.71011249909816,0.0,0.12118792533874512
XGBoost,3,0.2913870359519173,0.0,55.43897505740611,0.0,77.29375678874209,0.0,0.11269021034240723
XGBoost,4,0.2707774926477623,0.0,57.46942499973557,0.0,78.41913364966027,0.0,0.10090112686157227
XGBoost,5,0.27228396266345545,0.0,58.669931055156304,0.0,78.3380903820057,0.0,0.13086795806884766
XGBoost,6,0.1692804647546413,0.0,62.33781537554046,0.0,83.70884888738946,0.0,0.10835099220275879
LightGBM,1,0.5643385055719713,0.0,42.904645083684095,0.0,60.6198659175467,0.0,0.30115413665771484
LightGBM,2,0.42431956493085854,0.0,49.59256154399893,0.0,69.66905142678533,0.0,0.1804490089416504
LightGBM,3,0.34174584503321903,0.0,53.01377572688582,0.0,74.49663807121547,0.0,0.17184090614318848
LightGBM,4,0.33060866017839197,0.0,54.75115217972136,0.0,75.13322874477147,0.0,0.16596412658691406
LightGBM,5,0.3372995144967361,0.0,55.49547482968339,0.0,74.75679125224899,0.0,0.16571807861328125
LightGBM,6,0.26589767918579044,0.0,58.88409369255241,0.0,78.69052750203339,0.0,0.17879819869995117
MLP,1,0.33537974882288407,0.33125666595891,49.62579712441323,10.019033965092074,68.45562275201473,14.817136768000157,357.2078380584717
