Modelo,Horizonte,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,Tempo (s)
Random Forest,1,0.3633180797633596,0.0,139.9295083639979,0.0,187.61823601726562,0.0,6.295694828033447
Random Forest,2,0.21263221275681143,0.0,161.23578317080765,0.0,208.64241991115793,0.0,6.3530659675598145
Random Forest,3,0.08997260129984008,0.0,176.61822801412058,0.0,224.32367797361925,0.0,6.254480838775635
Random Forest,4,-0.04933109626802579,0.0,189.44560850521924,0.0,240.88189244940742,0.0,6.397953033447266
Random Forest,5,-0.09188835382179894,0.0,194.10430358195322,0.0,245.71801588105777,0.0,6.761343002319336
Random Forest,6,-0.14209430748195206,0.0,199.553914065381,0.0,251.30369046788093,0.0,6.258329153060913
Gradient Boosting,1,0.35729972540884536,0.0,138.08909800868918,0.0,188.5028984737422,0.0,1.5250723361968994
Gradient Boosting,2,0.19663026109869197,0.0,162.31842158548096,0.0,210.75191236614694,0.0,1.5605099201202393
Gradient Boosting,3,0.08365135664273537,0.0,175.40997147367673,0.0,225.10142979027637,0.0,1.4974608421325684
Gradient Boosting,4,0.0005799813952757082,0.0,183.36176761461394,0.0,235.08336847982568,0.0,1.4654688835144043
Gradient Boosting,5,-0.0630455545141475,0.0,189.75402002248012,0.0,242.45091126208237,0.0,1.5377719402313232
Gradient Boosting,6,-0.08570109348417176,0.0,192.0914250500294,0.0,245.02083782078728,0.0,1.5015912055969238
XGBoost,1,0.29325236941993704,0.0,144.515232484733,0.0,197.6723704507512,0.0,0.16138005256652832
XGBoost,2,0.07893027041890677,0.0,169.19292736597382,0.0,225.66283742728024,0.0,0.1196749210357666
XGBoost,3,-0.06653656218390913,0.0,186.65978260707652,0.0,242.84868548719632,0.0,0.11712288856506348
XGBoost,4,-0.24071591851298946,0.0,198.34017616147688,0.0,261.9292866032998,0.0,0.13182616233825684
XGBoost,5,-0.2956753779106367,0.0,204.65845071780282,0.0,267.66771151634805,0.0,0.11186575889587402
XGBoost,6,-0.4025120577920207,0.0,211.34096705801554,0.0,278.4846005022749,0.0,0.12729501724243164
LightGBM,1,0.3842205245207583,0.0,134.1485534900326,0.0,184.51275539439897,0.0,0.13650298118591309
LightGBM,2,0.1601919658368175,0.0,163.06833119800552,0.0,215.4784298342926,0.0,0.14845824241638184
